time     | svc | cur | Δ  | tgt | p99
09:36:16 | api |   1 | +1 |   2 | 544.8378
09:36:17 | app |   1 | +1 |   2 | 743.7881
09:36:17 | db  |   1 | -1 |   1 | 20.0000
09:36:47 | api |   2 | +0 |   2 | 927.1366
09:36:47 | app |   2 | +1 |   3 | 903.3201
09:36:47 | db  |   1 | -1 |   1 | 20.0000
09:37:17 | api |   2 | +1 |   3 | 945.5367
09:37:17 | app |   3 | +1 |   4 | 954.1823
09:37:17 | db  |   1 | -1 |   1 | 20.0000
09:37:47 | api |   3 | +0 |   3 | 937.9731
09:37:47 | app |   4 | +1 |   5 | 956.0433
09:37:47 | db  |   1 | -1 |   1 | 20.0000
09:38:18 | api |   3 | +0 |   3 | 953.2058
09:38:18 | app |   5 | +1 |   5 | 966.3685
09:38:18 | db  |   1 | -1 |   1 | 20.0000
09:38:48 | api |   3 | -1 |   2 | 20.0000
09:38:48 | app |   5 | -1 |   4 | 20.0000
09:38:48 | db  |   1 | -1 |   1 | 20.0000
09:39:18 | api |   2 | -1 |   1 | 20.0000
09:39:18 | app |   4 | -1 |   3 | 20.0000
09:39:18 | db  |   1 | -1 |   1 | 20.0000
09:39:48 | api |   1 | -1 |   1 | 20.0000
09:39:48 | app |   3 | -1 |   2 | 20.0000
09:39:48 | db  |   1 | -1 |   1 | 20.0000
