timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-04-28T04:06:49+00:00,0.2703,0.2803,0.0099
2026-04-28T04:07:04+00:00,0.2709,0.3113,0.0103
2026-04-28T04:07:19+00:00,0.3265,0.3378,0.0107
2026-04-28T04:07:34+00:00,0.3626,0.3655,0.0108
2026-04-28T04:07:49+00:00,0.3573,0.3715,0.0106
2026-04-28T04:08:04+00:00,0.3246,0.3359,0.0102
2026-04-28T04:08:19+00:00,0.299,0.3164,0.0095
2026-04-28T04:08:34+00:00,0.2455,0.2514,0.009
2026-04-28T04:08:49+00:00,0.2107,0.1784,0.008
2026-04-28T04:09:04+00:00,0.1473,0.1083,0.007
2026-04-28T04:09:19+00:00,0.0403,0.0606,0.0055
2026-04-28T04:09:34+00:00,0.0109,0.0115,0.0052
2026-04-28T04:09:49+00:00,0.0095,0.0043,0.0049
