timestamp,api_p99_ms,app_p99_ms
2026-04-28T04:06:49+00:00,927.14,906.54
2026-04-28T04:07:04+00:00,952.36,958.47
2026-04-28T04:07:19+00:00,945.01,954.39
2026-04-28T04:07:34+00:00,939.59,948.43
2026-04-28T04:07:49+00:00,937.48,956.0
2026-04-28T04:08:04+00:00,945.47,960.42
2026-04-28T04:08:19+00:00,952.94,966.31
2026-04-28T04:08:34+00:00,901.84,959.85
2026-04-28T04:08:49+00:00,491.49,886.94
2026-04-28T04:09:04+00:00,497.16,908.19
2026-04-28T04:09:19+00:00,639.36,961.77
2026-04-28T04:09:34+00:00,,492.25
