timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-04-28T04:03:08+00:00,0.0567,0.0498,0.0066
2026-04-28T04:03:23+00:00,0.0983,0.0857,0.0071
2026-04-28T04:03:38+00:00,0.1293,0.1216,0.0078
2026-04-28T04:03:53+00:00,0.1628,0.1647,0.0085
2026-04-28T04:04:08+00:00,0.2077,0.1942,0.009
2026-04-28T04:04:23+00:00,0.2383,0.222,0.0097
2026-04-28T04:04:38+00:00,0.249,0.2476,0.0096
2026-04-28T04:04:53+00:00,0.2491,0.2485,0.0097
2026-04-28T04:05:08+00:00,0.2492,0.2278,0.0099
2026-04-28T04:05:23+00:00,0.2494,0.2484,0.0101
2026-04-28T04:05:38+00:00,0.2492,0.2486,0.0102
2026-04-28T04:05:53+00:00,0.2495,0.2486,0.0093
2026-04-28T04:06:08+00:00,0.2495,0.2487,0.0101
