timestamp,api_p99_ms,app_p99_ms
2026-04-28T04:03:08+00:00,742.84,1453.81
2026-04-28T04:03:23+00:00,557.06,989.2
2026-04-28T04:03:38+00:00,520.68,949.53
2026-04-28T04:03:53+00:00,494.44,919.23
2026-04-28T04:04:08+00:00,498.8,890.0
2026-04-28T04:04:23+00:00,495.54,858.46
2026-04-28T04:04:38+00:00,497.82,848.37
2026-04-28T04:04:53+00:00,492.17,512.12
2026-04-28T04:05:08+00:00,492.8,523.53
2026-04-28T04:05:23+00:00,495.06,608.89
2026-04-28T04:05:38+00:00,561.7,670.03
2026-04-28T04:05:53+00:00,561.46,728.78
2026-04-28T04:06:08+00:00,583.54,743.79
