timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-04-27T12:54:08+00:00,0.0802,0.07,0.0061
2026-04-27T12:54:23+00:00,0.114,0.1109,0.0066
2026-04-27T12:54:38+00:00,0.1508,0.1557,0.0074
2026-04-27T12:54:53+00:00,0.1659,0.1721,0.0081
2026-04-27T12:55:08+00:00,0.2091,0.2193,0.0088
2026-04-27T12:55:23+00:00,0.2405,0.2565,0.0095
2026-04-27T12:55:38+00:00,0.2495,0.2707,0.0087
2026-04-27T12:55:53+00:00,0.2496,0.2903,0.0094
2026-04-27T12:56:08+00:00,0.2496,0.307,0.0094
2026-04-27T12:56:23+00:00,0.2495,0.2916,0.0093
2026-04-27T12:56:38+00:00,0.2499,0.3256,0.0092
2026-04-27T12:56:53+00:00,0.2497,0.3719,0.009
2026-04-27T12:57:08+00:00,0.2498,0.3888,0.0089
2026-04-27T12:57:23+00:00,0.2498,0.3972,0.0089
2026-04-27T12:57:38+00:00,0.2498,0.3754,0.0088
2026-04-27T12:57:53+00:00,0.25,0.3987,0.0089
2026-04-27T12:58:08+00:00,0.2501,0.3626,0.0085
2026-04-27T12:58:23+00:00,0.2499,0.3903,0.0084
2026-04-27T12:58:38+00:00,0.25,0.3718,0.0083
2026-04-27T12:58:53+00:00,0.2188,0.3379,0.0078
2026-04-27T12:59:08+00:00,0.1789,0.2732,0.007
2026-04-27T12:59:23+00:00,0.1522,0.2054,0.0066
2026-04-27T12:59:38+00:00,0.1109,0.1694,0.006
2026-04-27T12:59:53+00:00,0.0705,0.0847,0.0056
2026-04-27T13:00:08+00:00,0.0417,0.0593,0.0054
