timestamp,api_cpu_cores,app_cpu_cores,db_cpu_cores
2026-04-28T04:14:13+00:00,0.4367,0.3744,0.0211
2026-04-28T04:14:28+00:00,0.3833,0.39,0.0198
2026-04-28T04:14:43+00:00,0.3458,0.3623,0.0175
2026-04-28T04:14:58+00:00,0.3228,0.3321,0.0151
2026-04-28T04:15:13+00:00,0.2054,0.2897,0.0115
2026-04-28T04:15:28+00:00,0.1849,0.1898,0.0076
2026-04-28T04:15:43+00:00,0.1769,0.155,0.007
2026-04-28T04:15:58+00:00,0.1274,0.1105,0.0066
2026-04-28T04:16:13+00:00,0.0703,0.1004,0.0059
2026-04-28T04:16:28+00:00,0.0654,0.0474,0.0053
2026-04-28T04:16:43+00:00,0.031,0.019,0.0048
2026-04-28T04:16:58+00:00,0.0051,0.001,0.0043
2026-04-28T04:17:13+00:00,0.005,0.001,0.0041
