epoch,eps,loss,train_mean,test_mean,test_std
10,0.18416666666666667,0.0,0,-129.06022825698705,0.0
20,0.16833333333333333,0.0,0,-128.63714285714232,0.0
30,0.15250000000000002,0.0,0,-129.9941287603855,0.0
40,0.1366666666666667,0.0,0,-128.5871428571423,0.0
50,0.12083333333333335,0.0,0,-152.38319846646945,0.0
60,0.10500000000000001,0.0,0,-126.03714285714221,0.0
70,0.08916666666666667,0.0,0,-103.73714285714222,0.0
80,0.07333333333333336,0.0,0,-40.99999999999995,0.0
90,0.057499999999999996,0.0,0,-128.63714285714232,0.0
100,0.041666666666666685,0.0,0,-73.49999999999966,0.0
110,0.025833333333333347,0.0,0,-135.88012385463514,0.0
120,0.010000000000000009,0.0,0,-128.51214285714232,0.0
